68	11	140	177	70	13	96	107	72	15	86	89	74	17	78	81	
139	176	69	12	141	106	71	14	97	88	73	16	85	80	75	18	
10	67	174	183	178	95	188	105	108	93	98	87	90	77	82	79	
175	138	179	142	181	184	223	94	187	104	109	92	99	84	19	76	
66	9	182	173	222	189	186	211	254	231	208	103	110	91	100	83	
137	62	143	180	185	224	253	232	247	210	251	230	207	102	111	20	
8	65	172	221	190	233	212	243	252	255	248	209	240	113	160	101	
63	136	61	144	213	244	225	256	237	246	241	250	229	206	21	112	
60	7	64	171	220	191	234	245	242	249	236	239	200	161	114	159	
53	40	135	58	145	214	219	226	235	238	217	228	205	202	155	22	
6	59	54	51	170	133	192	215	218	227	204	201	162	199	158	115	
41	52	39	134	57	146	167	196	193	216	163	198	203	154	23	156	
38	5	42	55	50	169	132	147	166	197	194	151	164	157	116	127	
33	2	31	36	45	56	49	168	195	150	165	124	153	128	119	24	
4	37	34	43	30	47	148	131	28	123	152	129	26	121	126	117	
1	32	3	46	35	44	29	48	149	130	27	122	125	118	25	120	
